OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025EV,2026-08-16T16:46:47.423136,13.83766915,.01409221,99.5525,278.9147,295.6393,188.4883,0,U,29851,999,98782,.15543918E-3,.138E-5,0
FENGYUN 1C DEB,1999-025EW,2026-08-16T20:06:03.038688,14.08506100,.01330777,99.3632,252.8598,185.1076,350.7834,0,U,29852,999,99461,.81715846E-3,.1474E-4,0
FENGYUN 1C DEB,1999-025EX,2026-08-16T18:13:16.219200,13.94501233,.01572362,98.4715,334.8958,255.1116,103.2589,0,U,29853,999,99111,.56485011E-3,.795E-5,0
FENGYUN 1C DEB,1999-025EY,2026-08-16T22:05:02.314752,13.83536248,.01473733,98.9598,23.0164,105.0253,45.2582,0,U,29854,999,98761,.19236005E-3,.19E-5,0
FENGYUN 1C DEB,1999-025EZ,2026-08-16T17:21:38.356704,14.03140736,.01812718,98.1826,150.6072,63.4169,357.9506,0,U,29855,999,99174,.12342502E-2,.2185E-4,0
FENGYUN 1C DEB,1999-025FA,2026-08-16T05:38:26.942784,14.55591065,.02368233,98.6898,336.0821,267.5350,119.5796,0,U,29856,999,99953,.9317794E-3,.588E-4,0
FENGYUN 1C DEB,1999-025FB,2026-08-16T21:40:12.265536,13.82672051,.01921213,98.4295,215.3288,340.4361,18.9493,0,U,29857,999,98190,.72258768E-3,.866E-5,0
FENGYUN 1C DEB,1999-025FC,2026-08-16T05:19:44.550624,13.78454061,.0198424,99.2164,327.7841,131.5059,260.9739,0,U,29858,999,97949,.55045117E-3,.603E-5,0
FENGYUN 1C DEB,1999-025FD,2026-08-16T10:24:05.457600,13.75052812,.02914135,98.3470,37.4571,265.7078,91.0729,0,U,29859,999,97369,.10597874E-2,.1341E-4,0
FENGYUN 1C DEB,1999-025FE,2026-08-16T14:06:03.336768,13.78715979,.02208079,98.6000,244.8126,38.6723,81.8657,0,U,29860,999,97539,.11043304E-2,.1308E-4,0
FENGYUN 1C DEB,1999-025FK,2026-08-16T19:46:26.766624,14.85770946,.01109809,98.9263,173.8158,77.2436,311.4520,0,U,29865,999,4424,.41878031E-3,.3995E-4,0
FENGYUN 1C DEB,1999-025FL,2026-08-16T21:30:27.808416,14.65312063,.01926837,98.0583,214.4855,154.2903,236.9696,0,U,29866,999,3945,.10237645E-3,.668E-5,0
FENGYUN 1C DEB,1999-025FN,2026-08-16T19:13:33.399264,14.81582240,.0186011,97.9180,276.7640,281.8547,128.9744,0,U,29868,999,3950,.19113751E-3,.1957E-4,0
FENGYUN 1C DEB,1999-025FP,2026-08-16T19:03:45.901728,14.37364815,.00869002,98.8892,172.0749,2.9959,18.0834,0,U,29869,999,2364,.16449053E-3,.464E-5,0
FENGYUN 1C DEB,1999-025FQ,2026-08-16T11:10:56.554176,14.29067082,.01198274,98.4907,197.6527,185.9497,299.8299,0,U,29870,999,2115,.25392007E-4,.26E-6,0
FENGYUN 1C DEB,1999-025FR,2026-08-16T17:16:46.767936,14.44028996,.00581038,98.9953,200.3929,94.4308,81.1447,0,U,29871,999,2264,.39381656E-3,.1325E-4,0
FENGYUN 1C DEB,1999-025FS,2026-08-16T18:36:31.648320,14.39965804,.02317642,98.3352,243.3854,290.2022,67.4380,0,U,29872,999,2145,.16685952E-3,.665E-5,0
FENGYUN 1C DEB,1999-025FT,2026-08-16T14:32:16.742976,13.98387540,.00913498,99.4159,100.5049,247.9765,166.5236,0,U,29873,999,99765,.16706593E-3,.2E-5,0
