OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036GJ,2026-08-16T15:47:30.048288,14.88879414,.00403175,73.9139,95.9389,288.1583,71.5209,0,U,33999,999,92919,.52089139E-3,.4924E-4,0
COSMOS 2251 DEB,1993-036GL,2026-08-16T15:17:10.974912,14.37327479,.00210342,74.0381,187.4975,215.3160,317.8258,0,U,34001,999,91693,.83002366E-4,.222E-5,0
COSMOS 2251 DEB,1993-036GN,2026-08-16T10:45:59.154912,13.85057155,.02786529,74.0743,229.4688,284.2575,72.7754,0,U,34003,999,87840,.66404694E-3,.992E-5,0
COSMOS 2251 DEB,1993-036GP,2026-08-16T08:47:15.176832,14.50863811,.00299898,74.0319,209.8459,171.7578,188.4082,0,U,34004,999,91605,.42390149E-3,.1654E-4,0
COSMOS 2251 DEB,1993-036GQ,2026-08-16T03:05:37.688352,14.40469466,.00205386,74.0451,118.3537,181.2625,330.7120,0,U,34005,999,91926,.55550222E-4,.151E-5,0
COSMOS 2251 DEB,1993-036GR,2026-08-16T07:56:37.017600,15.19801881,.00010501,74.0552,357.1308,105.5714,282.1543,0,U,34006,999,92383,.21563319E-2,.46455E-3,0
COSMOS 2251 DEB,1993-036GS,2026-08-16T17:12:16.086240,14.66430264,.0047735,74.0149,230.7370,301.6611,57.9906,0,U,34007,999,92698,.28094081E-3,.1548E-4,0
COSMOS 2251 DEB,1993-036GT,2026-08-16T10:57:21.282912,14.33285584,.00233738,74.0314,239.5807,181.3109,250.6972,0,U,34008,999,91499,.42812298E-4,.92E-6,0
COSMOS 2251 DEB,1993-036GU,2026-08-16T19:15:59.861088,14.33388554,.00288868,74.0343,245.3751,258.1370,277.7425,0,U,34009,999,91485,.50177468E-4,.113E-5,0
COSMOS 2251 DEB,1993-036GW,2026-08-16T10:56:15.394272,14.42890831,.0040218,74.0104,231.8404,260.5858,99.0750,0,U,34011,999,91473,.3444711E-3,.1135E-4,0
COSMOS 2251 DEB,1993-036GZ,2026-08-16T18:58:11.669376,14.75677487,.00396622,74.0155,157.6276,236.2494,154.3326,0,U,34014,999,92945,.32260013E-3,.2198E-4,0
COSMOS 2251 DEB,1993-036HA,2026-08-16T22:44:03.716736,14.61881569,.00210238,74.0226,46.4996,81.8765,69.1976,0,U,34015,999,92141,.47528353E-3,.2355E-4,0
COSMOS 2251 DEB,1993-036HD,2026-08-16T13:31:58.761984,13.81349327,.02652285,73.8768,33.6791,24.0366,43.6904,0,U,34018,999,88065,.10825232E-3,.127E-5,0
COSMOS 2251 DEB,1993-036HE,2026-08-16T16:15:01.677600,14.34791728,.006002,73.9538,316.2443,79.2784,41.6140,0,U,34019,999,91061,.27832668E-3,.779E-5,0
COSMOS 2251 DEB,1993-036HG,2026-08-16T11:44:27.006144,14.50626872,.00194466,74.0358,26.2168,108.0827,308.9888,0,U,34021,999,92207,.16607442E-3,.626E-5,0
COSMOS 2251 DEB,1993-036HH,2026-08-16T13:55:55.282080,14.39256998,.00225432,74.0540,175.8371,186.3276,287.3043,0,U,34022,999,91746,.9497385E-4,.269E-5,0
COSMOS 2251 DEB,1993-036HJ,2026-08-16T18:40:06.406752,14.41001484,.00191357,74.0253,154.3684,198.0600,192.8684,0,U,34023,999,91772,.14887504E-3,.453E-5,0
