OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1452,2020-035N,2026-08-16T13:27:38.367936,15.67665603,.00022823,53.0212,325.8698,180.9551,179.1461,0,U,45669,999,34427,.3575444E-3,.39449E-3,0
STARLINK-1453,2020-035P,2026-08-16T22:24:53.559936,15.85569340,.00085357,53.0325,302.3412,359.2562,0.8447,0,U,45670,999,34452,.45501248E-3,.113106E-2,0
STARLINK-1454,2020-035Q,2026-08-16T20:02:43.369152,15.81543811,.00055949,53.0417,345.1856,341.8068,18.2752,0,U,45671,999,34401,.40373008E-3,.82357E-3,0
STARLINK-1456,2020-035S,2026-08-16T13:52:18.123456,15.76075592,.00040401,53.0427,342.8459,320.4484,39.6240,0,U,45673,999,34404,.38313962E-3,.60742E-3,0
STARLINK-1458,2020-035U,2026-08-16T18:28:09.819840,15.72069330,.00026275,53.0440,359.9220,327.6600,32.4256,0,U,45675,999,34378,.44327259E-3,.59111E-3,0
STARLINK-1460,2020-035V,2026-08-16T17:57:39.102336,15.41121124,.00021659,53.1549,36.4622,128.7481,231.3718,0,U,45676,999,34329,.79889556E-3,.33322E-3,0
STARLINK-1392,2020-035W,2026-08-16T20:45:45.840960,15.45038188,.00026091,53.1510,32.7478,134.4930,225.6290,0,U,45677,999,34339,.74930524E-3,.35681E-3,0
STARLINK-1394,2020-035Y,2026-08-16T16:54:05.494464,15.74082564,.00035905,53.0366,333.1776,342.9857,17.1040,0,U,45679,999,34418,.35829609E-3,.51946E-3,0
STARLINK-1402,2020-035AE,2026-08-16T17:27:55.090080,15.70761542,.00031438,53.0399,326.2755,343.0371,17.0541,0,U,45685,999,34429,.24189395E-3,.30139E-3,0
STARLINK-1404,2020-035AF,2026-08-16T15:24:07.047936,15.51498330,.00014148,53.1540,12.3618,54.6677,305.4465,0,U,45686,999,34366,.71602942E-3,.42815E-3,0
STARLINK-1413,2020-035AJ,2026-08-16T19:11:17.669184,15.40606996,.00022709,53.1566,21.0031,98.5243,261.6020,0,U,45689,999,34347,.79696278E-3,.32671E-3,0
STARLINK-1417,2020-035AN,2026-08-16T15:11:40.972704,15.19812138,.00035955,53.0483,45.1397,38.6533,321.4719,0,U,45693,999,34316,.76663702E-3,.16345E-3,0
